LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,target
54034.13861719222,1,2,1,30.762403179772967,-1,-1,0,37832.10007684355,37221.44249297888,12250.946398013552,17673.910006254166,0
32512.781211782185,1,2,1,30.46585891616146,-1,0,0,4635.369749757718,4698.41826086297,1850.7173562780654,1063.089147856946,0
60970.829903601,1,1,2,21.0,0,-2,1,3766.367009959131,3380.181885765473,46.23664626385288,149.48110905287604,0
122813.70406956364,1,2,2,31.69909808298563,2,0,-2,10009.656212737573,10944.568106611883,4135.251463023907,3428.711244661391,0
30111.947540010104,2,2,1,42.328290818217454,1,0,4,36117.849734640644,40877.52358921549,5894.914406248134,2038.4356341160458,0
30112.343039530668,1,1,2,22.257678809232047,0,-1,0,3325.7731168536193,3867.5070928089885,1142.6061556708628,1201.446862498085,0
128459.66620921556,1,2,1,45.484826510505926,3,0,0,47080.982166690235,47401.77029132901,14514.115096965374,12507.877726714325,0
67100.56769272883,2,2,2,39.87774821084338,-2,2,-2,1861.0464922604501,1797.4556545113458,409.6147704393606,640.0893306858604,0
24944.795725156306,1,2,1,27.65766678028962,-1,-1,5,9935.852402944916,11251.093951360615,3706.209732641266,1974.3394751110118,0
56052.724453164854,2,1,1,33.584703626621526,0,0,0,2451.140357956996,2698.8680741931857,1178.0412565868576,194.1320108779575,0
25065.955397061934,2,2,2,50.98321807641033,-1,4,0,582.9612764611618,668.6037024498305,94.28669359925473,78.96560597366619,0
25019.635038996603,1,1,2,42.33547813505866,0,0,4,20738.396527044253,22030.241495453836,7760.680060115341,7530.314905321246,0
44071.55390989296,2,2,2,35.08783654898148,-1,1,4,10792.715228480192,12447.511759548453,1697.3543769018836,2975.9858540517694,0
10000.0,2,2,1,32.623166830390154,-2,2,-1,2498.588572943094,2087.862254073137,1056.469636533603,564.5762022486117,0
10000.0,1,2,2,35.76609070451659,0,-1,4,7187.246180166546,7703.46748549645,1571.3949456140579,1244.1039224545602,0
23159.72312200898,1,1,1,29.882364420576966,4,-1,1,22701.59061852273,18967.588393927148,5099.523386793781,7935.111167206382,0
16150.965396421829,2,2,1,21.0,-1,1,-2,8588.852320687543,9443.98471658289,3314.7841602938747,4719.419248324033,0
46695.25656789534,2,3,2,55.42177910534731,-2,1,-1,10525.778907946567,11066.567619586698,2611.2862787590147,1727.5250043447868,0
17563.54523706802,2,1,2,36.553249991994015,1,-2,0,8282.102295811299,6678.660860111215,1104.1890012070085,2399.815195637957,0
11732.957473914112,1,3,1,38.981472651225374,-1,-1,0,6642.458581817282,6906.193377330561,3306.4064242842664,590.8256866901297,0
117303.3994614017,2,2,1,34.42092250123091,-1,0,1,6539.364511982186,5614.122405149005,2027.9399619293588,2084.0518836296483,1
30314.425266544447,2,2,2,27.64883199275412,-1,2,-1,6312.9803165858875,5410.000449237637,2036.4082265028387,1165.4530554242874,0
38331.318780738475,2,1,2,33.140755190512294,1,0,2,5411.212932827015,4654.645304096969,1749.3962179678842,1408.7416443966624,0
11616.728508257049,2,1,3,21.0,2,4,2,3941.2234830114503,3915.721563533339,1740.757747596701,465.1106427812964,0
23493.846631575143,2,3,2,57.77086498053305,0,8,0,8470.503396312071,7167.80859869759,778.7442241801565,3052.256234976002,1
39685.37741578479,2,2,2,22.65488001577604,-1,1,4,6198.648585579171,5270.4771994298935,183.32969694251048,456.77989414708236,0
14460.920297656989,2,1,2,24.680337161528207,-1,0,2,3692.140474996469,3332.035655998463,713.876305742315,1547.0732194447642,0
49048.18271561822,2,2,2,30.597407956135996,-2,0,-1,33497.21521436188,26809.271414793737,9461.375203600051,821.0120554434566,0
22459.951032144232,1,1,1,47.88075724852378,4,-2,1,58639.46225839136,53380.435259011894,8376.929273916689,7686.290226603279,0
28757.244588384598,2,2,2,35.14508999262654,0,0,5,13358.07928250783,13990.759417150332,4603.240904026656,3938.0175114327903,0
22440.77084025114,2,2,1,22.638642039695377,-2,-1,-1,14469.056093237481,15056.90814870785,534.7472227150529,6462.941306610725,0
159823.05046210074,1,3,2,47.543383607573396,0,-1,6,5819.230066276566,6912.159795287858,2300.6601639093064,1994.2440077841775,1
35925.48532353084,2,2,1,42.31000626785482,0,0,-2,48071.15692716744,40757.22806167248,17259.61287007777,4404.097484510537,0
15581.370125097976,1,1,2,40.384349572164524,6,0,0,107561.42278176939,123289.97179803479,11506.102852597629,52955.10099631887,0
70125.09024094403,2,2,2,42.157342411708406,2,1,1,10975.7920638837,10498.080635965178,1637.88583176285,3129.278955494432,0
13675.006191125185,2,2,3,58.94361900582451,-1,0,1,7145.686492889036,6822.805184369407,2883.291805768296,792.6290550018107,0
42919.900393919146,1,2,2,56.85094895036112,1,-1,1,20126.050891725266,18908.914951544695,7782.118392539742,5311.926064552202,0
10000.0,2,4,1,28.132846569967047,0,0,0,15595.181274279481,13254.260547174707,6345.415369248209,4475.296180767744,0
12549.688968686909,1,2,2,51.23884992811152,-1,5,0,7330.6057364292155,7267.5772970905,1181.1176236435963,2472.89294140062,0
42509.760556402456,2,1,1,38.831681897589,0,2,1,23515.96896164423,26219.15752461412,11400.20292833172,9491.395445017271,0
65563.42436287261,2,3,1,39.99095816137749,0,-1,0,41183.34182201121,47367.96628386086,14730.009409330256,21214.644593668112,0
41651.58178695436,1,1,1,21.0,-2,0,0,5203.141820727965,6166.470765957405,169.62447182422366,2543.120526776087,0
33106.382716487475,1,1,1,33.29614234611804,0,4,2,282219.6015188981,314425.65417118516,67413.0700653288,95537.76365639393,0
28541.574095692802,1,2,2,26.87176409663435,0,-2,-1,2122.7536396769237,2227.2709861540043,705.3348297567566,35.820537152560526,0
11127.584645167522,2,3,2,43.28058814893309,-2,-1,0,4807.68581792728,4802.943092994736,405.40856896875096,1799.9566414982357,0
20417.02995478337,2,2,2,45.710805004028046,-1,-1,-2,17690.121162922238,20342.912284712333,7976.200786785463,9916.757008053011,0
25121.74245019867,1,1,1,21.0,0,0,0,198044.640641821,217018.3951214413,74673.59336210397,33156.78886308927,0
84600.69671608608,1,2,1,34.7796513599573,-2,0,-1,6801.450450639253,5879.87615796369,276.9270666725565,1784.2443538096743,0
47805.43579883072,1,1,1,46.21861504794252,2,-2,0,3718.607037603423,3990.1404564954014,1697.9124560246066,1533.5438673009023,0
10000.0,2,1,1,33.13321037686555,-2,0,-1,25824.779975208177,25112.414761112454,5221.37900873602,8024.533760705613,0
47064.16561716815,2,1,1,42.29063645002364,-2,-2,-2,9913.836739156668,10293.733683806166,2242.85426503223,4748.236312671024,0
26687.062480597546,1,2,1,38.511654676270844,-2,0,0,29682.319186793145,34411.93653995806,11622.233187783706,8144.272326973994,0
21130.2808015024,2,3,2,38.41660231952626,0,0,0,12271.850485151712,13020.779670151722,3951.52164173559,3462.5298459554533,0
59239.33430555274,1,1,2,32.286850219317024,0,0,0,4776.198181230507,5614.371834398748,1044.8618792339662,107.35630686393594,0
82851.04351409052,2,1,2,22.834191958642904,0,-2,-1,223832.0257520082,256634.13238739356,29056.156529006614,115513.7577063949,1
76498.32279247839,2,3,1,23.784698525749725,-1,0,4,385.5732859276254,328.33898033060944,99.65059292878522,43.05883550471503,0
18557.438434300308,2,2,2,42.09352514455317,2,0,-2,118691.91915794306,95506.73052966922,34371.9778769957,46722.89894358604,0
28357.025721541115,2,3,2,35.19458255518883,-2,0,3,40942.10542906707,39049.12931166913,12915.849348510246,3946.0387330366357,0
47335.25970702338,2,1,1,33.614877553927755,-1,0,1,5460.484768117907,6258.436302825677,1651.9693290549892,793.1181095083799,0
79255.81795274527,2,1,1,30.761099576776473,-2,0,-1,126361.7527371211,112721.05170538764,39001.775881799535,27313.755578822536,0
24751.976161630584,2,2,1,31.948111545192482,-2,-2,0,2576.782897551445,2774.061315688766,612.9362492082748,916.1338559882188,0
31303.11269376789,1,2,1,45.46911794488139,-1,-2,7,44789.68536065729,44359.62141677725,12583.389758377256,9773.85758597095,0
14986.903830980309,1,2,2,31.647559181319732,-1,-1,0,1097.539202735215,1205.571198332089,158.39586155492674,212.06993878422213,0
13947.209072351825,1,2,1,21.589352866984314,-1,0,-2,3377.6861006524337,2925.0449249430926,267.47037502412854,789.8893366390575,0
69565.26515719896,2,1,2,42.43651775540173,2,0,0,3367.634369089521,3016.175975360329,1021.9687377517762,1445.1981820564158,0
107472.6873232544,1,2,1,32.95123336135283,-1,1,0,5427.381170166677,4868.41403175369,127.53990765776246,2341.5902981529225,0
34282.55498443361,1,2,2,35.31395865532777,1,1,2,13546.68759452361,13809.308088367678,441.6691821255955,2265.0357761312453,0
81050.38832362126,2,2,1,51.075783063995104,0,2,3,4958.35029742962,4541.104044543875,613.139671628853,1544.3355778801013,0
48499.502543509,1,2,2,34.794394426494925,-1,-1,-2,1160.152635721417,1304.8108487044162,112.72449789689405,470.9794984638306,0
21674.770130629586,2,2,1,37.891836731187254,0,-1,-1,23298.422244688747,21870.641055233416,4358.122851800968,7145.32573577277,0
48490.175258079325,2,1,1,23.210765087016746,0,2,-1,14167.998980616752,15079.57454545405,2630.209760476356,852.0732764981053,0
124297.01381214564,2,1,2,32.8033054764904,-2,-1,8,21822.848780201908,25737.884315372274,1275.0594699790797,6942.480956818115,0
35289.44425896359,2,2,2,41.09526045208601,3,0,0,16420.757112665782,17123.064471713784,2023.8830233508372,6534.603242668471,1
126971.11830429289,2,1,1,21.0,0,-1,3,41985.61499089813,37655.27781366263,95.91969823169023,3780.769818488499,0
10000.0,2,2,2,37.00845093115709,3,3,0,12202.805657482775,13815.805081678991,2141.3715846178648,2405.3926641764565,1
70089.06038016547,1,3,2,36.00791072644806,2,0,1,45027.32297748554,36247.76083413569,17930.671985384302,3693.654785238415,0
38934.563407918744,2,2,2,35.412874555874396,-2,-1,-1,5266.725084496959,4753.824348883374,700.8957439474135,2108.1512789460417,0
28589.48064766723,1,1,1,45.37158898658243,-1,1,3,5639.752975109018,5385.942634332739,1814.1623103452491,2312.0010169138304,1
39081.661524321054,1,4,2,38.344385148485216,-2,-1,0,69650.64741855612,61180.53976469434,3421.7684068493577,5175.969115702092,0
10000.0,2,1,1,49.78071898356444,2,4,2,67968.6868004802,70796.67606182715,417.4865036835096,26922.214300393265,0
30462.82874687565,1,1,1,25.06410484405964,2,-1,-1,26595.32084828603,27212.33885505584,6627.5077067466655,4952.3200467690895,0
48324.311525050034,1,2,1,36.35924567218348,0,0,1,4596.592304458709,4424.673442876776,1060.6270765584277,1518.0412645976992,0
118458.17643632503,1,2,2,35.844667863899474,-2,-1,0,4173.211146846083,3829.9719527490674,399.62502682714455,944.7930809145377,0
23989.795355313603,1,1,2,24.3074550624492,-2,2,-2,65754.06379075306,64015.716856320934,9422.062751246774,15107.034915264081,0
19019.21604192389,1,2,2,44.56295002091346,2,3,0,61524.94080279826,56386.43328459553,943.5282478326119,24846.253638906663,0
24308.81607888773,1,2,2,58.24673305852818,4,1,0,12378.356349139554,10998.211743611038,4937.7255838947995,3502.7339329530937,0
75532.75590237188,2,1,3,34.82993925516169,-1,2,-1,221962.09707111455,208757.1397392238,33436.6695452167,24609.1206869389,0
47240.21812725662,2,1,2,40.05021088273767,-2,-2,-1,23171.540135805266,24120.049353602753,2542.5716154090837,1335.755762826227,0
23770.291817336994,1,2,2,35.84518475815327,-1,4,0,3538.155238260695,3748.1671930649127,1423.5019300195522,1749.2824533787584,0
54754.45129089345,2,2,3,27.86415330092824,-2,0,-1,9597.353673058013,8819.381285809355,188.4617933930638,676.3845952511582,0
39248.24620269763,1,1,1,21.0,2,2,0,13447.71784399005,15854.310866596214,1913.1114537029803,5819.138292883333,0
78819.52248445261,1,1,2,27.942265169046347,0,0,0,14819.19181702531,13408.16308417593,1946.8895669341607,3324.215595463355,0
20709.70116738679,1,2,2,21.080416190482687,0,-1,-1,59874.372914975225,64954.88374379761,7872.660192996608,4548.965326279592,0
27941.554901773314,2,3,2,52.04102078059118,0,0,-1,4240.571406385004,3530.6659248969163,24.374293777781375,1371.055744549571,0
26537.48332072904,2,1,2,33.84890306076761,-1,-2,2,2703.182985207877,2881.4249740948603,1263.2943437610222,1303.1021655765949,0
11261.98350883732,2,2,2,31.540806709528294,-1,1,-1,27523.306108992558,27082.368968708677,11892.066417449068,1645.343387726513,0
46022.984864822436,2,1,2,43.89153824787806,1,0,0,7270.778068028654,7471.765188493426,1506.8435136873782,250.63598509362873,0
44749.887858471215,2,1,2,23.78248897144112,0,-1,0,244802.57495210532,213866.6443725948,54521.80956868322,90877.27865382325,0
36464.36514607078,2,1,1,27.331359619954476,-1,6,5,41434.3057411607,40333.21340592033,10858.98362461854,10102.530979862478,0
30101.50029853283,2,2,1,35.68072269248621,-1,3,-2,7111.896734495281,7869.39298190217,1700.866546437399,2654.0915088470947,0
11704.204396457972,1,2,2,45.287689914234804,-2,3,2,57263.831273890624,63381.55159443668,22308.090120135057,13990.854386434194,0
25938.502888018338,1,3,1,40.01685045168788,-2,1,0,32096.20102872424,28726.818377883847,7838.212108510114,5923.875808251209,0
27607.103361957146,2,2,2,37.48325142515882,0,1,-2,28579.260515558868,26894.219028868083,2698.234725281371,4029.549208332103,0
19114.035452614713,2,3,1,35.78117735236016,0,0,-1,11536.916255142076,9247.131671790868,674.7474310652364,2602.735388925785,0
31919.469465391063,1,1,2,39.002358555267755,0,-2,0,22126.71590652708,18497.599714787375,10159.16556535152,1478.031353999418,0
50173.420103791475,1,1,1,37.016529051292544,2,3,-1,1071.109728329443,911.1846281022354,25.911568469874524,326.7648260892784,0
164217.7747857372,2,4,2,24.70027725223064,0,3,-1,64893.794712762836,59537.49531413793,29123.05482430565,16355.835561004758,0
41758.664858469696,2,2,2,35.46079221633151,-1,1,3,216.312718692656,238.72405634096182,74.67971562923988,101.16180710029667,0
44624.58916166233,1,3,2,24.263113410822474,-1,4,-1,7859.2957892693075,7891.519317466507,1590.3469177552772,3634.100323377186,0
34215.81583220231,2,1,1,35.81082542900824,2,0,0,1968.7366786817126,2199.1640270461608,184.25253868593163,990.2690069798797,0
10000.0,2,2,2,30.193520585117586,0,0,1,7324.488708210478,8071.310298991655,1137.0617255557418,2426.3606365989735,0
35553.32281502852,2,2,2,60.393816227828616,-2,5,1,12222.811416799525,12648.840977603479,3238.2731472804558,2015.8097696512073,0
38108.17739796025,2,1,1,34.601056162482884,0,0,-2,3177.4928704508684,3177.315186569765,1043.5695952596989,567.420262366489,0
260561.36795352193,2,2,1,21.0,0,0,1,478.48617056409364,561.0385974949419,165.42999633434528,183.04895915348752,0
31135.72734913803,1,2,1,33.658197893230756,2,-1,0,17128.15481554901,17602.743254367906,3830.657971265212,6266.287044044921,0
46223.23505278972,1,1,1,40.19358745637888,3,0,-1,163362.6309397005,162240.2633148051,30546.695900300965,13083.503837662542,1
